county,state,outage_rate,major_outage_days,peak_customers_out,avg_customers_out,total_days
Hudson,New Jersey,0.17367773677736778,706,73096.0,677.00073800738,4065
Somerset,New Jersey,0.17151306062099556,696,36937.0,603.9004435682602,4058
Onondaga,New York,0.17142154451549435,697,20532.0,597.9269552385637,4066
Mercer,New Jersey,0.17000247096614776,688,51105.0,628.0509019026439,4047
York,Pennsylvania,0.16797642436149313,684,36294.0,635.7861001964636,4072
Norfolk,Massachusetts,0.16794649492197175,678,126740.0,804.4163983155809,4037
New Haven,Connecticut,0.1679144385026738,628,140925.0,872.3077540106951,3740
Dutchess,New York,0.16646176542906319,677,67413.0,739.3371035161052,4067
Saratoga,New York,0.16241879060469766,650,48632.0,669.0252373813094,4002
Ulster,New York,0.16117125984251968,655,47925.0,669.9945866141733,4064
Providence,Rhode Island,0.16104407781334645,654,84135.0,754.4993843880818,4061
Orange,New York,0.15864440078585462,646,67715.0,666.7598231827112,4072
Suffolk,Massachusetts,0.15823945506942624,604,27817.0,618.2213780455855,3817
York,Maine,0.15634837355718784,596,90611.0,864.1235571878279,3812
Sussex,New Jersey,0.15303430079155672,580,44821.0,729.7179419525066,3790
Westchester,New York,0.15260058881256133,622,124918.0,846.0856231599607,4076
Lancaster,Pennsylvania,0.15099925980754997,612,21188.0,506.42215642733777,4053
Hartford,Connecticut,0.14769909065858364,536,179370.0,869.4935243868835,3629
South Central Connecticut,Connecticut,0.14746543778801843,32,9281.0,541.1566820276498,217
Hunterdon,New Jersey,0.1447193402500665,544,31409.0,603.3003458366587,3759
Lehigh,Pennsylvania,0.1437731196054254,583,28690.0,539.8589395807645,4055
Albany,New York,0.14355948869223206,584,67944.0,584.0560471976402,4068
Plymouth,Massachusetts,0.14310472889329043,578,351202.0,1008.6669967813815,4039
Penobscot,Maine,0.14007976071784647,562,65190.0,754.2293120638086,4012
Barnstable,Massachusetts,0.13636363636363635,513,273634.0,992.9005847953216,3762
Erie,Pennsylvania,0.1309171597633136,531,46555.0,648.4556213017752,4056
Northampton,Pennsylvania,0.13052060202319268,529,45620.0,558.3276585245497,4053
Washington,Pennsylvania,0.12981243830207306,526,37548.0,459.80602171767026,4052
Bristol,Massachusetts,0.1281795511221945,514,105218.0,661.3017456359103,4010
Western Connecticut,Connecticut,0.11981566820276497,26,3815.0,460.9032258064516,217
Gloucester,New Jersey,0.11748768472906404,477,81657.0,493.95123152709357,4060
Warren,New Jersey,0.11636069114470843,431,19281.0,471.9500539956803,3704
Hampden,Massachusetts,0.11518060116190958,456,56663.0,477.00454660267746,3959
Rockingham,New Hampshire,0.1146433041301627,458,80811.0,668.2600750938674,3995
Monroe,Pennsylvania,0.11415187376725838,463,46392.0,484.69206114398423,4056
Putnam,New York,0.11392757660167131,409,37978.0,512.025348189415,3590
Cumberland,Pennsylvania,0.11309081910418213,457,20095.0,387.73595644642415,4041
Androscoggin,Maine,0.11224489795918367,396,40795.0,474.1451247165533,3528
