year,month,outage_events,avg_customers_out,max_customers_out,county_days_total,outage_rate
2023,12,571,661.8068676716917,85579.0,5970,0.09564489112227806
2024,1,774,529.9826348305227,65902.0,5989,0.1292369343796961
2024,2,508,378.19652855543114,30577.0,5358,0.09481149682717432
2024,3,628,455.3154395878345,89045.0,6017,0.10437094897789596
2024,4,676,608.3814415628158,105529.0,5938,0.11384304479622769
2024,5,522,311.4085533776122,26740.0,6173,0.08456180139316377
2024,6,968,656.2040584415585,84962.0,6160,0.15714285714285714
2024,7,848,578.6298412698412,77059.0,6300,0.1346031746031746
2024,8,824,490.88631578947366,18305.0,6175,0.1334412955465587
2024,9,354,246.03396029258099,31448.0,5742,0.06165099268547544
2024,10,422,286.65098558886865,21963.0,6037,0.0699022693390757
2024,11,555,393.40163237544635,28732.0,5881,0.09437170549226322
2024,12,476,311.9063383796373,55570.0,6011,0.0791881550490767
2025,1,417,265.7615317667537,15663.0,5745,0.07258485639686683
2025,2,500,596.5849780701755,599357.0,5472,0.09137426900584796
2025,3,667,407.4237512404896,17668.0,6046,0.11032087330466424
2025,4,581,545.5019674935843,270977.0,5845,0.09940119760479042
2025,5,620,469.62920800130104,173136.0,6149,0.10082940315498455
2025,6,812,609.2159257449927,74988.0,6141,0.1322260218205504
2025,7,896,541.4227464458678,47121.0,6401,0.1399781284174348
2025,8,505,310.40870403083346,27781.0,6227,0.08109844226754456
2025,9,432,264.67970204841714,10881.0,5907,0.07313357034027425
2025,10,570,313.1979588530698,18617.0,6173,0.09233759922242021
2025,11,487,313.3088603370599,23819.0,5993,0.08126147171700317
2025,12,719,493.41283170977493,29004.0,5954,0.12075915351024522
