storm_date,county,state,event_type,tier_severe,tier_moderate,magnitude,month,is_winter,is_summer,baseline_typical,baseline_high,baseline_extreme,tree_canopy_pct,population_density,infrastructure_vulnerability,land_area_sqmi,actual_customers,predicted_customers,predicted_major,predicted_critical,actual_major,actual_critical,major_correct,critical_correct,ci_pct,ci_low,ci_high,in_ci,pct_error
2020-08-28 15:30:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,9449.796875,True,False,True,True,True,False,0.65,3307.0,15592.0,True,27.720690875019123
2020-08-28 15:26:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,1324.0,3907.814453125,True,False,True,False,True,True,0.65,1368.0,6448.0,False,195.15214902756796
2020-08-28 15:26:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,1324.0,3623.14453125,True,False,True,False,True,True,0.65,1268.0,5978.0,True,173.65139964123867
2020-08-28 15:59:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,13074.0,12977.1025390625,True,True,True,True,True,True,0.65,4542.0,21412.0,True,0.7411462516253633
2020-08-28 16:30:00,Ocean,New Jersey,Thunderstorm Wind,1,0,60.0,8,0,1,2510.0,4476.5,11575.899999999981,45,1063.9,0.483,628,11016.0,48128.1328125,True,True,True,True,True,True,0.75,12032.0,84224.0,False,336.8929993872549
2020-08-28 16:35:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,8,0,1,2510.0,4476.5,11575.899999999981,45,1063.9,0.483,628,11016.0,13625.9140625,True,True,True,True,True,True,0.65,4769.0,22483.0,True,23.692030342229483
2020-08-28 16:38:00,Ocean,New Jersey,Thunderstorm Wind,0,1,50.0,8,0,1,2510.0,4476.5,11575.899999999981,45,1063.9,0.483,628,11016.0,13098.689453125,True,True,True,True,True,True,0.65,4585.0,21613.0,True,18.90604078726398
2020-08-28 16:38:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,8,0,1,2510.0,4476.5,11575.899999999981,45,1063.9,0.483,628,11016.0,13625.9140625,True,True,True,True,True,True,0.65,4769.0,22483.0,True,23.692030342229483
2020-08-28 16:40:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,8,0,1,2510.0,4476.5,11575.899999999981,45,1063.9,0.483,628,11016.0,14460.4501953125,True,True,True,True,True,True,0.65,5061.0,23860.0,True,31.267703298043752
2020-08-28 16:43:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,8,0,1,2510.0,4476.5,11575.899999999981,45,1063.9,0.483,628,11016.0,15301.4013671875,True,True,True,True,True,True,0.65,5355.0,25247.0,True,38.901610087032495
