storm_date,county,state,event_type,tier_severe,tier_moderate,magnitude,storm_duration_hrs,month,is_winter,is_summer,is_hurricane_season,baseline_typical,baseline_high,baseline_extreme,baseline_p25,baseline_n_history,tree_canopy_pct,population_density,infrastructure_vulnerability,land_area_sqmi,population_2023,actual_customers,predicted_customers,predicted_major,predicted_critical,actual_major,actual_critical,major_correct,critical_correct,ci_pct,ci_low,ci_high,in_ci,pct_error
2020-08-28 15:18:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,2745.638916015625,True,False,True,False,True,True,0.55,1236.0,4256.0,True,4.499515964673913
2020-08-28 15:18:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,2982.230224609375,True,False,True,False,True,True,0.55,1342.0,4622.0,True,3.7297469429347827
2020-08-28 14:48:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,1112.0,3482.01953125,True,False,True,False,True,True,0.55,1567.0,5397.0,False,213.1312528102518
2020-08-28 14:50:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,1112.0,3573.26123046875,True,False,True,False,True,True,0.55,1608.0,5539.0,False,221.3364415889164
2020-08-28 14:55:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,12407.8544921875,True,True,True,True,True,True,0.55,5584.0,19232.0,True,5.095192808723421
2020-08-28 14:55:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,2780.440185546875,True,False,True,False,True,True,0.55,1251.0,4310.0,True,3.2890370244565217
2020-08-28 14:55:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,1112.0,2713.407958984375,True,False,True,False,True,True,0.55,1221.0,4206.0,False,144.01150710291142
2020-08-28 15:03:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,1112.0,3290.853271484375,True,False,True,False,True,True,0.55,1481.0,5101.0,False,195.940042399674
2020-08-28 15:05:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,11870.626953125,True,True,True,True,True,True,0.65,4155.0,19587.0,True,9.204321912765796
2020-08-28 15:12:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,5937.26220703125,True,False,True,True,True,False,0.55,2672.0,9203.0,False,54.58725556806448
