storm_date,county,state,event_type,tier_severe,tier_moderate,magnitude,storm_duration_hrs,log_duration,month,month_sin,month_cos,is_winter,is_summer,is_hurricane_season,tree_canopy_pct,population_density,infrastructure_vulnerability,land_area_sqmi,population_2023,tier_x_canopy,tier_x_density,actual_customers,predicted_customers,predicted_major,predicted_critical,actual_major,actual_critical,major_correct,critical_correct,ci_pct,ci_low,ci_high,in_ci,pct_error
2020-08-28 14:55:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,52.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,8981.55312101082,True,False,True,False,True,True,0.5,4491.0,13472.0,False,199.4849323444755
2020-08-28 15:23:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,3046.5304796673254,True,False,True,False,True,True,0.5,1523.0,4570.0,True,1.5848776147824402
2020-08-28 15:23:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,42,1783.3,0.609,483,861332,0.21,3.7433907302186915,1324.0,3876.881256746918,True,False,True,False,True,True,0.5,1938.0,5815.0,False,192.8158048902506
2020-08-28 15:26:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,2822.703531947055,True,False,True,False,True,True,0.5,1411.0,4234.0,True,5.878508437910799
2020-08-28 15:18:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,2822.703531947055,True,False,True,False,True,True,0.5,1411.0,4234.0,True,5.878508437910799
2020-08-28 15:18:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,3046.5304796673254,True,False,True,False,True,True,0.5,1523.0,4570.0,True,1.5848776147824402
2020-08-28 14:48:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,42,1783.3,0.609,483,861332,0.21,3.7433907302186915,1324.0,3794.720441712156,True,False,True,False,True,True,0.5,1897.0,5692.0,False,186.61030526526858
2020-08-28 14:50:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,42,1783.3,0.609,483,861332,0.21,3.7433907302186915,1324.0,3876.881256746918,True,False,True,False,True,True,0.5,1938.0,5815.0,False,192.8158048902506
2020-08-28 14:55:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,13074.0,13430.522686744944,True,True,True,True,True,True,0.5,6715.0,20146.0,True,2.7269595131172073
2020-08-28 14:55:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,2858.0908330339907,True,False,True,False,True,True,0.5,1429.0,4287.0,True,4.6985384116708655
2020-08-28 14:55:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,42,1783.3,0.609,483,861332,0.21,3.7433907302186915,1324.0,3418.163125533938,True,False,True,False,True,True,0.5,1709.0,5127.0,False,158.1694203575482
2020-08-28 15:03:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,42,1783.3,0.609,483,861332,0.21,3.7433907302186915,1324.0,3846.227644682839,True,False,True,False,True,True,0.5,1923.0,5769.0,False,190.5005773929637
2020-08-28 15:05:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.5,6.980168959491182,13074.0,14191.986236087843,True,True,True,True,True,True,0.55,6386.0,21998.0,True,8.551217959980443
2020-08-28 15:12:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,13074.0,9694.940793340425,True,False,True,True,True,False,0.5,4847.0,14542.0,True,25.845641782618745
2020-08-28 15:13:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,3046.5304796673254,True,False,True,False,True,True,0.5,1523.0,4570.0,True,1.5848776147824402
2020-08-28 15:08:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,42,1783.3,0.609,483,861332,0.21,3.7433907302186915,1324.0,3876.881256746918,True,False,True,False,True,True,0.5,1938.0,5815.0,False,192.8158048902506
2020-08-28 15:11:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,3046.5304796673254,True,False,True,False,True,True,0.5,1523.0,4570.0,True,1.5848776147824402
2020-08-28 15:11:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,2822.703531947055,True,False,True,False,True,True,0.5,1411.0,4234.0,True,5.878508437910799
2020-08-28 15:15:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.5,6.980168959491182,13074.0,13340.345052638455,True,True,True,True,True,True,0.55,6003.0,20678.0,True,2.0372116616066616
2020-08-28 15:14:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,13074.0,14343.285169448005,True,True,True,True,True,True,0.5,7172.0,21515.0,True,9.708468482851499
2020-08-28 15:14:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.5,6.980168959491182,13074.0,14191.986236087843,True,True,True,True,True,True,0.55,6386.0,21998.0,True,8.551217959980443
2020-08-28 15:36:00,Philadelphia,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,20,11571.2,0.52,134,1550542,0.1,4.678180474521903,1710.0,13801.688822427019,True,True,True,False,True,False,0.5,6901.0,20703.0,False,707.1163054050888
2020-08-28 15:39:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,3056.6479030436217,True,False,True,False,True,True,0.5,1528.0,4585.0,True,1.922237513958709
2020-08-28 15:16:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.5,6.980168959491182,13074.0,12988.53198041768,True,True,True,True,True,True,0.55,5845.0,20132.0,True,0.6537251000636398
