storm_date,county,state,event_type,storm_tier,magnitude,predicted_customers,actual_customers,ci_low,ci_high,in_ci,predicted_major,actual_major,major_correct,predicted_critical,actual_critical,critical_correct,pct_error
2020-05-15 20:00:00,Middlesex,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2303,15420.0,806,3800,False,True,True,True,False,True,False,85.1
2020-05-15 20:07:00,Middlesex,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2303,15420.0,806,3800,False,True,True,True,False,True,False,85.1
2020-05-15 19:40:00,Worcester,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2228,10918.0,780,3676,False,True,True,True,False,True,False,79.6
2020-05-15 20:13:00,Middlesex,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2303,15420.0,806,3800,False,True,True,True,False,True,False,85.1
2020-05-15 20:13:00,Suffolk,Massachusetts,Thunderstorm Wind,MODERATE,50.0,1766,561.0,618,2914,False,True,False,False,False,False,True,214.8
2020-05-15 20:15:00,Suffolk,Massachusetts,Thunderstorm Wind,MODERATE,50.0,1766,561.0,618,2914,False,True,False,False,False,False,True,214.8
2020-04-21 14:03:00,Ocean,New Jersey,Thunderstorm Wind,SEVERE,60.0,7853,10329.0,1963,13743,True,True,True,True,False,True,False,24.0
2020-04-21 14:04:00,Monmouth,New Jersey,Thunderstorm Wind,MODERATE,55.0,2579,1045.0,903,4255,True,True,True,True,False,False,True,146.8
2020-04-21 14:04:00,Monmouth,New Jersey,Thunderstorm Wind,MODERATE,55.0,2579,1045.0,903,4255,True,True,True,True,False,False,True,146.8
2020-04-09 12:42:00,Middlesex,New Jersey,Thunderstorm Wind,MODERATE,50.0,2136,2621.0,748,3524,True,True,True,True,False,False,True,18.5
2020-04-09 11:48:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1703.0,757,3571,True,True,True,True,False,False,True,27.1
2020-04-09 11:50:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,3295.0,809,3815,True,True,True,True,False,False,True,29.8
2020-04-21 12:18:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,90.0,809,3815,False,True,False,False,False,False,True,2468.9
2020-04-08 00:08:00,Allegheny,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,1943,10971.0,680,3206,False,True,True,True,False,True,False,82.3
2020-04-08 00:06:00,Allegheny,Pennsylvania,Thunderstorm Wind,SEVERE,65.0,5300,10971.0,1325,9275,False,True,True,True,False,True,False,51.7
2020-04-21 14:04:00,Ocean,New Jersey,Thunderstorm Wind,MODERATE,55.0,2880,10329.0,1008,4752,False,True,True,True,False,True,False,72.1
2020-04-21 14:08:00,Ocean,New Jersey,Thunderstorm Wind,SEVERE,65.0,7853,10329.0,1963,13743,True,True,True,True,False,True,False,24.0
2020-04-09 12:45:00,Monmouth,New Jersey,Thunderstorm Wind,MODERATE,50.0,2579,1093.0,903,4255,True,True,True,True,False,False,True,136.0
2020-04-09 11:54:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,3546.0,906,4272,True,True,True,True,False,False,True,27.0
2020-04-09 12:00:00,Montgomery,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2164,1703.0,757,3571,True,True,True,True,False,False,True,27.1
2020-04-09 12:29:00,Philadelphia,Pennsylvania,Thunderstorm Wind,MODERATE,51.0,2229,1087.0,780,3678,True,True,True,True,False,False,True,105.1
2020-04-08 00:09:00,Allegheny,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,1943,10971.0,680,3206,False,True,True,True,False,True,False,82.3
2020-04-08 00:33:00,Allegheny,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,1943,10971.0,680,3206,False,True,True,True,False,True,False,82.3
2020-04-08 00:20:00,Allegheny,Pennsylvania,Thunderstorm Wind,SEVERE,60.0,5300,10971.0,1325,9275,False,True,True,True,False,True,False,51.7
2020-04-09 13:12:00,Monmouth,New Jersey,Thunderstorm Wind,MODERATE,55.0,2579,1093.0,903,4255,True,True,True,True,False,False,True,136.0
2020-04-09 12:15:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,3546.0,906,4272,True,True,True,True,False,False,True,27.0
2020-04-09 13:24:00,Nassau,New York,Thunderstorm Wind,MODERATE,52.0,2235,68.0,782,3688,False,True,False,False,False,False,True,3186.8
2020-04-09 14:25:00,Suffolk,New York,Thunderstorm Wind,MODERATE,56.0,2256,2773.0,790,3722,True,True,True,True,False,False,True,18.6
2020-04-08 00:10:00,Allegheny,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,1943,10971.0,680,3206,False,True,True,True,False,True,False,82.3
2020-04-08 00:29:00,Allegheny,Pennsylvania,Thunderstorm Wind,MODERATE,53.0,1943,10971.0,680,3206,False,True,True,True,False,True,False,82.3
2020-08-23 15:20:00,Essex,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2546,6617.0,891,4201,False,True,True,True,False,False,True,61.5
2020-08-23 15:24:00,Essex,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2546,6617.0,891,4201,False,True,True,True,False,False,True,61.5
2020-08-23 15:45:00,Middlesex,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2303,10743.0,806,3800,False,True,True,True,False,True,False,78.6
2020-08-23 15:45:00,Middlesex,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2303,10743.0,806,3800,False,True,True,True,False,True,False,78.6
2020-08-23 15:56:00,Worcester,Massachusetts,Thunderstorm Wind,MODERATE,55.0,2228,4913.0,780,3676,False,True,True,True,False,False,True,54.7
2020-08-23 16:05:00,Essex,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2546,6617.0,891,4201,False,True,True,True,False,False,True,61.5
2020-08-23 16:05:00,Worcester,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2228,4913.0,780,3676,False,True,True,True,False,False,True,54.7
2020-04-21 14:05:00,Ocean,New Jersey,Tornado,SEVERE,,4908,10329.0,1227,8589,False,True,True,True,False,True,False,52.5
2020-04-21 12:26:00,Chester,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2312,90.0,809,3815,False,True,False,False,False,False,True,2468.9
2020-04-21 12:58:00,Philadelphia,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2229,350.0,780,3678,False,True,False,False,False,False,True,536.9
2020-04-09 13:15:00,Monmouth,New Jersey,Thunderstorm Wind,MODERATE,55.0,2579,1093.0,903,4255,True,True,True,True,False,False,True,136.0
2020-04-09 12:18:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,3546.0,906,4272,True,True,True,True,False,False,True,27.0
2020-04-09 12:18:00,Bucks,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,2589,3546.0,906,4272,True,True,True,True,False,False,True,27.0
2020-04-08 00:12:00,Allegheny,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,1943,10971.0,680,3206,False,True,True,True,False,True,False,82.3
2020-05-29 15:22:00,Chittenden,Vermont,Thunderstorm Wind,MODERATE,50.0,1838,809.0,643,3033,True,True,False,False,False,False,True,127.2
2020-08-23 16:40:00,Worcester,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2228,4913.0,780,3676,False,True,True,True,False,False,True,54.7
2020-08-23 17:00:00,Worcester,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2228,4913.0,780,3676,False,True,True,True,False,False,True,54.7
2020-08-23 17:00:00,Worcester,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2228,4913.0,780,3676,False,True,True,True,False,False,True,54.7
2020-04-21 13:05:00,Philadelphia,Pennsylvania,Thunderstorm Wind,MODERATE,53.0,2229,350.0,780,3678,False,True,False,False,False,False,True,536.9
2020-04-21 13:07:00,Philadelphia,Pennsylvania,Thunderstorm Wind,MODERATE,51.0,2229,350.0,780,3678,False,True,False,False,False,False,True,536.9
2020-04-13 08:37:00,Middlesex,New Jersey,High Wind,MODERATE,50.0,2136,1275.0,748,3524,True,True,True,True,False,False,True,67.5
2020-04-09 12:24:00,Philadelphia,Pennsylvania,Thunderstorm Wind,MODERATE,55.0,2229,1087.0,780,3678,True,True,True,True,False,False,True,105.1
2020-04-21 13:13:00,Essex,New Jersey,Thunderstorm Wind,MODERATE,52.0,2243,3.0,785,3701,False,True,False,False,False,False,True,74666.7
2020-04-21 14:30:00,Ocean,New Jersey,Thunderstorm Wind,SEVERE,60.0,7853,10329.0,1963,13743,True,True,True,True,False,True,False,24.0
2020-04-21 15:25:00,Suffolk,New York,Thunderstorm Wind,MODERATE,53.0,2256,1025.0,790,3722,True,True,True,True,False,False,True,120.1
2020-04-21 15:40:00,Suffolk,New York,Thunderstorm Wind,MODERATE,50.0,2256,1025.0,790,3722,True,True,True,True,False,False,True,120.1
2020-04-08 00:13:00,Allegheny,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,1943,10971.0,680,3206,False,True,True,True,False,True,False,82.3
2020-04-08 00:40:00,Allegheny,Pennsylvania,Thunderstorm Wind,MODERATE,50.0,1943,10971.0,680,3206,False,True,True,True,False,True,False,82.3
2020-08-22 09:42:00,Middlesex,Massachusetts,Thunderstorm Wind,MODERATE,50.0,2303,14944.0,806,3800,False,True,True,True,False,True,False,84.6
2020-04-09 12:29:00,Philadelphia,Pennsylvania,Thunderstorm Wind,MODERATE,51.0,2229,1087.0,780,3678,True,True,True,True,False,False,True,105.1
