county,state,date_only,wind_speed_max,wind_gust_max,wind_dir,precip_sum,rain_sum,snowfall_sum,temp_mean,temp_max,temp_min,soil_moisture_shallow,soil_moisture_deep
Hillsborough,New Hampshire,2024-06-23,13.5,31.8,197,9.6,9.6,0.0,20.9,29.6,14.9,0.2415,0.154
Suffolk,Massachusetts,2024-04-04,31.9,61.5,40,32.2,27.2,3.5,2.3,2.9,1.0,0.4338,0.4322
Middlesex,New Jersey,2024-06-14,9.9,30.6,211,15.4,15.4,0.0,23.6,30.8,19.8,0.2659,0.2717
Penobscot,Maine,2024-07-05,6.8,18.8,172,2.1,2.1,0.0,21.3,26.8,16.4,0.179,0.1995
Monmouth,New Jersey,2024-06-14,9.2,21.0,198,26.7,26.7,0.0,23.4,32.0,19.2,0.1753,0.17
Ocean,New Jersey,2024-06-14,12.9,25.3,197,26.2,26.2,0.0,23.8,31.5,19.8,0.2242,0.2117
Essex,New Jersey,2024-06-26,17.1,36.0,240,2.2,2.2,0.0,26.9,34.5,21.7,0.152,0.1847
Fairfield,Connecticut,2024-06-26,10.4,24.6,233,1.7,1.7,0.0,26.2,34.5,21.2,0.1,0.0969
New Haven,Connecticut,2024-06-26,12.3,27.1,219,0.6,0.6,0.0,25.7,32.5,21.3,0.2342,0.246
Erie,New York,2024-09-09,17.2,35.8,235,2.5,2.5,0.0,16.0,18.8,14.1,0.3904,0.395
Nassau,New York,2024-06-26,11.0,23.9,208,0.1,0.1,0.0,25.0,29.5,21.8,0.2412,0.2903
Westchester,New York,2024-06-26,8.6,23.7,232,2.0,2.0,0.0,26.0,34.0,21.0,0.2254,0.2365
Bergen,New Jersey,2024-06-22,9.2,25.1,169,0.4,0.4,0.0,26.7,35.8,21.1,0.1915,0.2258
Suffolk,New York,2024-06-26,14.6,31.1,219,0.2,0.2,0.0,25.1,28.7,22.6,0.1562,0.2115
Bergen,New Jersey,2024-06-26,8.6,23.3,236,1.8,1.8,0.0,27.7,35.5,22.2,0.1675,0.2191
Bergen,New Jersey,2024-09-07,10.5,25.5,180,8.3,8.3,0.0,18.8,24.1,14.6,0.2624,0.249
Allegheny,Pennsylvania,2024-08-30,12.1,21.0,158,5.6,5.6,0.0,24.8,31.5,20.1,0.3774,0.3486
Allegheny,Pennsylvania,2024-08-06,5.9,24.4,229,16.9,16.9,0.0,24.1,31.5,20.2,0.4412,0.4461
Montgomery,Pennsylvania,2024-08-09,20.5,50.1,164,14.9,14.9,0.0,24.2,27.9,21.7,0.409,0.3457
Allegheny,Pennsylvania,2024-10-06,12.1,24.6,200,22.5,22.5,0.0,17.7,26.4,10.4,0.4406,0.4436
Allegheny,Pennsylvania,2024-08-17,12.4,25.9,196,11.0,11.0,0.0,22.9,27.4,19.6,0.4553,0.3955
Allegheny,Pennsylvania,2024-08-29,4.6,13.9,71,20.8,20.8,0.0,24.5,31.5,20.4,0.3505,0.347
Chester,Pennsylvania,2024-08-03,10.0,24.2,215,35.9,35.9,0.0,25.3,31.1,22.2,0.4796,0.3508
Monmouth,New Jersey,2024-08-06,8.8,23.3,237,48.6,48.6,0.0,26.0,32.8,21.8,0.2526,0.2164
Philadelphia,Pennsylvania,2024-08-18,8.9,21.5,151,31.1,31.1,0.0,22.9,28.9,20.8,0.365,0.2951
Worcester,Massachusetts,2024-08-15,7.2,20.1,288,4.8,4.8,0.0,19.9,27.4,16.8,0.1814,0.1886
Middlesex,New Jersey,2024-08-28,9.1,18.3,258,0.4,0.4,0.0,27.1,34.3,21.7,0.2215,0.26
Chester,Pennsylvania,2024-08-02,9.4,26.6,194,16.3,16.3,0.0,26.7,33.8,22.5,0.3513,0.2983
Erie,New York,2024-08-05,13.6,30.0,227,11.6,11.6,0.0,22.7,25.9,20.3,0.3444,0.3206
Monmouth,New Jersey,2024-08-02,13.0,29.1,203,9.4,9.4,0.0,27.9,36.0,23.6,0.1322,0.1036
Rockingham,New Hampshire,2024-08-04,7.6,18.3,245,21.5,21.5,0.0,24.0,27.1,21.2,0.3495,0.2434
Hillsborough,New Hampshire,2024-08-04,8.1,17.2,256,4.6,4.6,0.0,23.9,26.7,21.6,0.213,0.1496
Monmouth,New Jersey,2024-08-03,7.5,26.6,241,11.6,11.6,0.0,26.5,34.2,22.5,0.2231,0.1167
Ocean,New Jersey,2024-08-03,11.3,25.1,230,11.2,11.2,0.0,27.0,33.4,23.1,0.329,0.1819
Westchester,New York,2024-08-06,9.1,19.7,220,27.3,27.3,0.0,24.4,31.8,20.6,0.3244,0.2369
Westchester,New York,2024-08-03,7.8,23.0,232,6.5,6.5,0.0,25.5,32.5,21.6,0.2663,0.2015
Essex,New Jersey,2024-08-18,9.7,23.0,146,25.0,25.0,0.0,21.5,24.7,19.6,0.3443,0.2504
Suffolk,New York,2024-12-31,15.9,30.4,188,0.5,0.5,0.0,7.5,10.8,3.8,0.3798,0.3921
Allegheny,Pennsylvania,2024-05-25,12.0,25.5,196,3.0,3.0,0.0,20.4,26.6,16.4,0.441,0.4386
Allegheny,Pennsylvania,2024-06-26,12.7,27.7,240,11.2,11.2,0.0,23.5,30.3,20.3,0.4142,0.378
Allegheny,Pennsylvania,2024-05-08,14.2,29.8,264,3.1,3.1,0.0,21.0,26.0,16.4,0.4625,0.4563
Allegheny,Pennsylvania,2024-05-26,11.6,23.3,157,3.5,3.5,0.0,21.0,27.1,15.4,0.4667,0.4446
