state,county,outage_days,total_days,max_customers,avg_customers,total_cust_hours,outage_rate,state_risk,risk_score,risk_level
New Jersey,Middlesex,128,519,9864.0,773.2543352601156,548850.0,0.2466281310211946,0.6,0.388,HIGH
Pennsylvania,Chester,99,518,12682.0,688.0482625482625,652194.5,0.19111969111969113,0.68,0.3867,HIGH
Maine,Franklin,20,345,3339.0,200.26666666666668,232483.5,0.057971014492753624,0.87,0.3828,HIGH
Maine,Waldo,20,350,21692.0,358.07142857142856,1160132.25,0.05714285714285714,0.87,0.3823,HIGH
New Jersey,Bergen,123,520,14749.0,758.2923076923076,647658.25,0.23653846153846153,0.6,0.3819,HIGH
Maine,Aroostook,20,380,12149.0,209.43947368421053,170793.5,0.05263157894736842,0.87,0.3796,HIGH
New Jersey,Monmouth,86,380,20350.0,943.0631578947368,919065.25,0.22631578947368422,0.6,0.3758,HIGH
Maine,Knox,17,371,20497.0,326.7870619946092,1249227.5,0.04582210242587601,0.87,0.3755,HIGH
Pennsylvania,Bucks,89,519,13080.0,675.8131021194605,771204.25,0.17148362235067438,0.68,0.3749,HIGH
New Jersey,Morris,87,387,19354.0,853.6356589147287,832052.5,0.2248062015503876,0.6,0.3749,HIGH
New York,Monroe,72,506,15040.0,518.5513833992095,807291.75,0.1422924901185771,0.72,0.3734,HIGH
New Jersey,Ocean,106,492,106447.0,1075.1300813008131,1763259.5,0.21544715447154472,0.6,0.3693,HIGH
New York,Orange,70,519,17128.0,491.39306358381504,907819.75,0.1348747591522158,0.72,0.3689,HIGH
Massachusetts,Worcester,92,519,29177.0,672.2890173410404,1141865.0,0.17726396917148363,0.65,0.3664,HIGH
Massachusetts,Essex,91,516,20316.0,765.1511627906976,881286.0,0.17635658914728683,0.65,0.3658,HIGH
New York,Westchester,67,518,16322.0,477.9594594594595,1026423.5,0.12934362934362933,0.72,0.3656,HIGH
New York,Onondaga,65,518,20532.0,449.16988416988414,613643.75,0.12548262548262548,0.72,0.3633,HIGH
Massachusetts,Barnstable,80,468,85305.0,1202.905982905983,3182460.0,0.17094017094017094,0.65,0.3626,HIGH
